date,campaign_id,campaign_name,objective,channel,region,product_line,creative_type,daily_budget,spend,impressions,clicks,conversions,revenue,ctr,cvr,cpa,roas,cpc
2024-01-13,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,499.95,190.39,13525,381,18,1573.48,0.02817,0.047244,10.58,8.2645,0.4997
2024-01-14,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,499.95,188.86,24165,890,29,2499.67,0.03683,0.032584,6.51,13.2356,0.2122
2024-01-15,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,462.92,202.99,21742,919,26,2011.13,0.042268,0.028292,7.81,9.9075,0.2209
2024-01-16,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,462.92,224.09,14714,728,24,2702.57,0.049477,0.032967,9.34,12.0602,0.3078
2024-01-17,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,462.92,239.63,34735,1213,56,4201.33,0.034922,0.046167,4.28,17.5326,0.1976
2024-01-18,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,462.92,272.24,21700,626,16,1735.53,0.028848,0.025559,17.02,6.375,0.4349
2024-01-19,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,462.92,269.3,18498,580,12,1060.44,0.031355,0.02069,22.44,3.9378,0.4643
2024-01-20,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,499.95,305.8,35217,759,14,1145.65,0.021552,0.018445,21.84,3.7464,0.4029
2024-01-21,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,499.95,376.82,29225,1655,55,4265.25,0.05663,0.033233,6.85,11.3191,0.2277
2024-01-22,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,462.92,333.22,26713,1461,45,4640.78,0.054692,0.030801,7.4,13.9271,0.2281
2024-01-23,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,462.92,378.04,28468,1156,30,2798.41,0.040607,0.025952,12.6,7.4024,0.327
2024-01-24,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,462.92,389.56,48820,2896,72,6162.89,0.05932,0.024862,5.41,15.8201,0.1345
2024-01-25,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,462.92,385.78,28155,753,24,2088.67,0.026745,0.031873,16.07,5.4141,0.5123
2024-01-26,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,462.92,360.07,25002,1071,23,1699.42,0.042837,0.021475,15.66,4.7197,0.3362
2024-01-27,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,499.95,340.07,32677,1549,70,7968.22,0.047403,0.04519,4.86,23.4311,0.2195
2024-01-28,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,499.95,483.42,40505,1558,50,5089.06,0.038464,0.032092,9.67,10.5272,0.3103
2024-01-29,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,462.92,377.72,50431,2999,79,7886.42,0.059467,0.026342,4.78,20.879,0.1259
2024-01-30,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,462.92,417.01,29923,2187,68,5624.82,0.073088,0.031093,6.13,13.4885,0.1907
2024-01-31,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,462.92,389.66,26265,1377,52,4277.29,0.052427,0.037763,7.49,10.977,0.283
2024-02-01,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,539.99,52443,2517,100,7745.45,0.047995,0.03973,5.4,14.3437,0.2145
